customer_id,income_from,income_to,qualification,age,child,tenure,retired_flag,income
100,50000,59999,Degree or higher,55,0,Owned outright,0,54999.5
10008,20000,29999,Degree or higher,34,2,Mortgaged,0,24999.5
10013,30000,39999,GCSE,32,1,Rented,0,34999.5
10017,20000,29999,Other,68,0,Rented,1,24999.5
10022,,,GCSE,61,0,Owned outright,0,0
10032,20000,29999,GCSE,35,2,Owned outright,0,24999.5
10042,10000,19999,None,54,0,Owned outright,0,14999.5
10044,40000,49999,Degree or higher,53,0,Mortgaged,0,44999.5
1005,70000,,Degree or higher,48,0,Owned outright,0,35000
10053,70000,,Degree or higher,46,1,Mortgaged,0,35000
10059,10000,19999,GCSE,31,0,Owned outright,0,14999.5
10068,20000,29999,Higher education,46,0,Rented,0,24999.5
10075,20000,29999,Higher education,35,2,Rented,0,24999.5
1008,10000,19999,Degree or higher,38,2,Mortgaged,0,14999.5
10086,20000,29999,None,65,0,Owned outright,1,24999.5
10087,20000,29999,GCSE,52,0,Rented,0,24999.5
10091,50000,59999,Degree or higher,45,1,Mortgaged,0,54999.5
10101,10000,19999,None,77,0,Owned outright,1,14999.5
10102,10000,19999,Higher education,71,0,Rented,1,14999.5
10103,30000,39999,Degree or higher,67,0,Owned outright,1,34999.5
10104,60000,69999,Degree or higher,46,1,Mortgaged,0,64999.5
10109,40000,49999,GCSE,54,2,Mortgaged,0,44999.5
10110,,,None,85,0,Rented,1,0
10113,,,Other,38,3,Owned outright,0,0
10123,30000,39999,A Level,70,0,Owned outright,1,34999.5
10124,60000,69999,GCSE,39,2,Mortgaged,0,64999.5
10127,30000,39999,None,55,0,Rented,0,34999.5
1013,,,Higher education,52,0,Mortgaged,0,0
10134,10000,19999,GCSE,44,0,Rented,0,14999.5
10136,70000,,Degree or higher,48,0,Owned outright,0,35000
10137,10000,19999,Other,60,0,Rented,0,14999.5
10139,20000,29999,Other,60,0,Owned outright,0,24999.5
10149,50000,59999,A Level,35,0,Rented,0,54999.5
1015,20000,29999,GCSE,51,0,Owned outright,0,24999.5
10152,20000,29999,Higher education,32,2,Rented,0,24999.5
10157,20000,29999,Degree or higher,56,0,Mortgaged,0,24999.5
10169,,,Other,54,0,Mortgaged,0,0
1018,40000,49999,GCSE,44,0,Mortgaged,0,44999.5
10184,20000,29999,GCSE,52,0,Owned outright,0,24999.5
10188,50000,59999,Degree or higher,39,2,Mortgaged,0,54999.5
10191,30000,39999,GCSE,70,0,Mortgaged,0,34999.5
10193,20000,29999,GCSE,59,0,Owned outright,0,24999.5
10195,0,9999,None,65,1,Rented,0,4999.5
10199,30000,39999,Higher education,71,0,Owned outright,0,34999.5
10214,20000,29999,Degree or higher,69,0,Rented,1,24999.5
10219,10000,19999,None,73,0,Owned outright,1,14999.5
1022,60000,69999,Degree or higher,54,0,Owned outright,0,64999.5
10223,,,A Level,48,0,Other,0,0
10224,20000,29999,Higher education,39,0,Rented,0,24999.5
10235,20000,29999,Degree or higher,66,0,Owned outright,1,24999.5
10248,30000,39999,Degree or higher,82,0,Owned outright,1,34999.5
10253,30000,39999,Degree or higher,63,0,Owned outright,0,34999.5
10254,10000,19999,A Level,62,0,Owned outright,0,14999.5
10255,50000,59999,Higher education,36,2,Mortgaged,0,54999.5
10256,30000,39999,GCSE,69,0,Mortgaged,1,34999.5
10265,30000,39999,Degree or higher,60,0,Rented,0,34999.5
10275,40000,49999,Higher education,43,1,Mortgaged,0,44999.5
10284,10000,19999,Degree or higher,34,2,Rented,0,14999.5
1029,70000,,Degree or higher,46,2,Mortgaged,0,35000
10290,40000,49999,Other,57,0,Mortgaged,0,44999.5
10291,20000,29999,Degree or higher,65,0,Rented,1,24999.5
10292,30000,39999,GCSE,86,0,Owned outright,1,34999.5
10294,70000,,Degree or higher,41,1,Rented,0,35000
10297,50000,59999,GCSE,56,0,Rented,0,54999.5
10302,10000,19999,GCSE,117,0,Owned outright,0,14999.5
10306,40000,49999,GCSE,47,2,Mortgaged,0,44999.5
10308,50000,59999,GCSE,57,0,Owned outright,0,54999.5
10309,70000,,Higher education,37,0,Mortgaged,0,35000
10321,0,9999,None,73,0,Rented,1,4999.5
10328,20000,29999,Higher education,66,0,Owned outright,1,24999.5
10329,30000,39999,A Level,40,2,Mortgaged,0,34999.5
1033,20000,29999,Higher education,50,0,Rented,0,24999.5
10333,10000,19999,Higher education,33,0,Rented,0,14999.5
10334,70000,,Degree or higher,37,2,Mortgaged,0,35000
10346,30000,39999,Degree or higher,44,1,Rented,0,34999.5
10347,,,Degree or higher,55,0,Owned outright,0,0
10355,,,A Level,45,0,Mortgaged,0,0
10358,70000,,Degree or higher,66,0,Owned outright,0,35000
10369,,,None,62,0,Rented,0,0
10371,10000,19999,Degree or higher,67,0,Rented,1,14999.5
10375,,,Higher education,71,0,Owned outright,1,0
10379,40000,49999,Degree or higher,33,0,Mortgaged,0,44999.5
1038,,,Other,66,0,Owned outright,1,0
10383,30000,39999,GCSE,32,2,Mortgaged,0,34999.5
10393,0,9999,Other,66,0,Rented,1,4999.5
10397,20000,29999,Degree or higher,55,0,Rented,0,24999.5
10399,50000,59999,Degree or higher,33,0,Rented,0,54999.5
10400,20000,29999,Degree or higher,37,1,Mortgaged,0,24999.5
10405,,,Other,30,0,Owned outright,0,0
10408,,,GCSE,70,0,Owned outright,1,0
1041,,,GCSE,66,0,Owned outright,1,0
10411,30000,39999,Degree or higher,76,0,Owned outright,1,34999.5
10414,40000,49999,Degree or higher,40,0,Rented,0,44999.5
10416,20000,29999,A Level,118,0,Owned outright,1,24999.5
10429,20000,29999,GCSE,68,0,Rented,1,24999.5
10431,20000,29999,A Level,96,0,Mortgaged,0,24999.5
10432,20000,29999,Degree or higher,52,0,Mortgaged,0,24999.5
10434,10000,19999,GCSE,38,0,Rented,0,14999.5
10436,10000,19999,None,63,0,Owned outright,0,14999.5
10439,,,Higher education,59,0,Owned outright,0,0
10445,70000,,Degree or higher,70,1,Mortgaged,0,35000
1045,30000,39999,GCSE,45,2,Owned outright,0,34999.5
10452,,,A Level,57,0,Owned outright,0,0
10453,10000,19999,GCSE,60,0,Owned outright,0,14999.5
10459,20000,29999,Higher education,42,1,Mortgaged,0,24999.5
1046,,,A Level,38,2,Mortgaged,0,0
10463,60000,69999,A Level,62,2,Mortgaged,0,64999.5
10479,20000,29999,GCSE,71,0,Owned outright,1,24999.5
10486,,,GCSE,69,0,Owned outright,0,0
10487,30000,39999,A Level,33,2,Other,0,34999.5
10490,40000,49999,GCSE,37,3,Owned outright,0,44999.5
10491,50000,59999,Degree or higher,42,2,Owned outright,0,54999.5
10493,60000,69999,Higher education,38,0,Rented,0,64999.5
10495,0,9999,A Level,53,0,Rented,0,4999.5
1050,10000,19999,Other,74,0,Owned outright,1,14999.5
10504,30000,39999,Higher education,42,2,Owned outright,0,34999.5
10507,,,Higher education,80,0,Owned outright,0,0
10508,50000,59999,Higher education,56,0,Mortgaged,0,54999.5
10514,10000,19999,Degree or higher,37,0,Rented,0,14999.5
1053,70000,,Degree or higher,34,2,Mortgaged,0,35000
10537,20000,29999,Degree or higher,63,0,Mortgaged,0,24999.5
10539,30000,39999,A Level,60,0,Mortgaged,0,34999.5
10543,10000,19999,Higher education,60,0,Mortgaged,0,14999.5
10549,10000,19999,None,84,0,Owned outright,1,14999.5
